"","text","subject_label","subject_predicted","structure_label","structure_predicted"
"36","Why you hate on poor blue? (Tell me why this makes sense.)",4,4,3,4
"37","Use a figure instead of two tables and only display the means with the standard deviation depicted by error bars. Come see me if you need help with excel.",3,3,4,4
"38","This is irrelevant information. Start by explaining the underlying biological concept of your study (i.e. intraspecific aggression)",2,4,4,5
"39","Include volumes",3,3,3,2
"40","extract",2,3,2,2
"41","Where is the description of the weight and length data? The statistical outcome should corroborate the observations, it will determine if the differences were caused by chance or if there was an effect, but before mentioning the statistical analysis you should mention the direct observations.",3,3,4,4
"42","What is muscle preparation?",3,3,4,2
"43","This section could be much more concise by just saying something like “xxx was not significantly different than yyy (p = 0.637, Figure 1)”",3,3,2,2
"44","Where’s your figure reference?",3,3,2,2
"45","Why did you use a different number of drops? The treatment and control conditions should be similar in terms of the amount.",3,3,4,4
"46","This explanation should come before you talk about changes in root:shoot",2,4,4,4
"47","confusing",2,2,3,2
"48","What was your main hypothesis. Make sure to include your hypothesis as one of the first sentence in your abstract.",4,2,2,4
"49","You also need primary literature in your discussion section",1,2,3,3
"50","Keep your background info focused on R:S",2,2,4,4
"51","Need to have error bars on your graphs. Need to have correct x axis labels. See me if you need help",3,3,4,4
"52","Make sure to include outside sources in the introduction (Basic Criteria).",1,1,4,3
"53","Talking about your hypothesis should go in your discussion section, not your results section. You can say your p-value is significant, but no more than that",1,3,4,4
"54","No citations in abstract",2,2,3,3
"55","When reporting the results of a two-sample t-test, you need to include the resulting t-statistic, the degrees of freedom (df), and the corresponding P-value. Your statement might look like this, “The mean of the control group was not statistically significantly different than that of the experimental group (t-stat = 0.57, df = 26, P = 0.574).”",3,3,2,2
"56","This is a little confusing. Try to break this up into smaller chucks when explaining",2,2,3,3
"57","Don’t use hyperbole in scientific writing.",2,2,3,3
"58","This belongs in the methods, not the intro. Just begin your intro with the next sentence.",2,2,4,4
"59","It was already included when you said that it experienced tetany.",2,2,4,2
"60","What did this study look at and do and what kinds of things did they find out?",4,3,4,3
"61","Which type of t-test? (two-sample)",3,3,4,2
"62","provide molarity",3,3,2,2
"63","What statistical testing did you use?",3,3,4,2
"64","You need to start the discussion with this sentence",2,2,4,4
"65","I think if the only thing you have to say about this figure in your results is that there’s nothing really going on, it’s probably not worth including",3,3,5,4
"66","This is not what it means. It means the data is insignificant, regardless of its relevance to the experiment",4,3,4,4
"67","You need a y-axis label",3,3,4,2
"68","SD?",3,3,2,2
"69","Because you stated that your statistical test said the change in mass were not statistically different, this essentially states that the difference in mass for your experimental and control could have been by random chance. As such, you should treat them as being the same or at least very similar. Due to this, you would have to come to the conclusion that statistically, there was no effect of precor on Manduca growth.",4,4,4,4
"70","Reduce your significant digits, same for t-value",3,3,2,2
"71","informal",2,2,3,3
"72","We used an incubator, not a fridge",3,3,2,2
"73","How much will you inject?",3,3,2,2
"74","Describe all the results citing figures and t-test p-values.",3,3,3,2
"75","You also tend to write really short sentences that makes your report read really choppy. Adding detail will help with this. So ask yourself “why” and “how” to help you out.",2,2,3,3
"76","conspecific",3,3,2,2
"77","You may want to mention this earlier in your discussion.",2,2,4,4
"78","If consecutive sentences use the same citation, you can just cite it at the end of the last sentence.",3,2,2,2
"79","Stats?",3,3,2,2
"80","Why don’t you look up what that muscle is called",3,3,2,2
"81","Which type of t-test?But more importantly, why did you use different # of tails for the tests? What in your hypothesis makes this a valid approach, I only see a two-tailed hypothesis? You should either clarify your hypothesis, or use the two-tailed t-test for both the weight and length ratios.",3,3,4,4
"82","2% water agar",3,3,2,2
"83","What do you mean?",3,3,7,2
"84","The statistical outcome is not necessary in the Abstract.",2,2,2,2
"85","What volume and concentration of reagents were used in the experiment?",3,3,4,2
"86","Error bars?",3,3,2,2
"87","In what cohort?",3,3,4,2
"88","Format: t-stat=_, d.f.=_, p=_",3,3,2,2
"89","Did you sterilize anything?",3,3,4,2
"90","Do not quote previous studies",2,2,3,3
"91","All information that is not common knowledge needs to be cited.",3,3,3,3
"92","If the roots are more massive, can we conclude that nutrients are actually being allocated to the shoots?",4,4,4,4
"93","This label should have more. How many frogs did you use? What do error bars represent? What is the trend of the graph? What are your statistical results?",3,3,4,4
"94","This is not the title of the lab report. The title should give an idea of the experiment",3,2,3,3
"95","Did they always fight to the death? Would selection really favor the death of closely related individuals?",4,4,5,2
"96","Specifically… (You’re not deducing all of signaling in this lab.)",2,2,2,2
"97","For manduca sexta is it better to keep in in a pupal phase or an adult?",4,2,5,5
"98","Paired t-test",3,3,2,2
"99","The null hypothesis cannot be rejected. (The null hypothesis would be that tubocurarine has no effect on the muscle).",3,4,4,4
"100","I would try to include the number of pulses and the width (how long the stimulus lasted).",3,3,2,2
"101","Only talk about mutualism, the others are impertinent to your study",4,2,4,2
"102","You need a hypothesis in your abstract",2,2,4,4
"103","Does it just diffuse?",3,3,5,2
"104","The intro needs to be reorganized and portions need to be clarified",2,2,3,3
"105","The figure caption could have some more info…specify “shade” or “full sun” instead of control and experimental. And a brief description of the methods used",3,3,4,4
"106","These are really more methods than results",2,2,4,3
"107","You don’t need this. You already analyzed the p-value.",3,3,2,2
"108","Title should VERY briefly state the main takeaway of your experiment",2,2,4,4
"109","How? It is super important that someone can read this and replicate your experiment exactly!",3,2,3,3
"110","Use the average of these values/column to make your graph.",3,3,4,2
"111","What is this made of?",3,3,7,2
"112","Why are you asking this question? What do we need to know to answer it?",4,2,3,3
"113","Why is there a clear difference? Can you support that statement?",4,3,3,4
"114","refer to correct format in the precious comment",3,3,2,2
"115","I guess what isn’t totally clear is why is 21 degrees C your control? Make that more explicit—is it an optimal temperature for photosynthesis?",4,3,4,4
"116","You spend a lot of time talking about error here. It’s good to be up front about possible defects in your data, but only if you think they really had an effect on the outcome of the experiment. For example, I’m not sure the fish eating the soil is an ERROR, it’s just something that happened in the experiment. You could mention it as an interesting observation rather than a mistake.",4,4,4,5
"117","revise",2,2,3,2
"118","Check d.f. value",3,3,4,2
"119","No need to explain specific aggressive behaviors in your introduction. Instead, focus your introduction on explaining intraspecific aggression, experimental treatments, and their connection.",2,4,4,5
"120","What is the bigger picture?",4,4,3,3
"121","This should have explored a bit further.",2,2,3,3
"122","Be sure to refer to the figures here",3,3,2,2
"123","Test species would be formal",2,2,2,2
"124","hemolymph",2,3,2,2
"125","This is what I meant by introducing biological background info pertinent to your experiment. I don’t need to know about the special pairs, but I do need to know about plastoquinone.",2,4,5,3
"126","This abstract needs to be reformatted a little bit. Think two sentences for your intro, your hypothesis, one sentence for methods, two for results, and a short concluding sentence",2,2,3,3
"127","All of them or are you referring to Martin’s IGR?",3,3,4,2
"128","Don’t state this until the discussion",1,2,4,4
"129","This mechanism is a little bit different than what you talked about in the introduction section",4,2,3,4
"130","I need to see some values in here other than p-value, don’t just describe the averages and standard devs show me them",3,3,2,4
"131","could have summarized better because it is still recipe-style writing",3,3,3,3
"132","Break this giant run-on into several, smaller sentences. Simpler sentences are typically better.",2,2,5,3
"133","This is close to interpretation (you are still explaining why you think something happened, not just what you saw happen). I’m going to allow it this time because I know you worked very hard to not put any interpretation in these results, but it’s an important point for you to understand in the future.",1,4,4,5
"134","All the time? Be specific, please",2,3,5,2
"135","Write PKA in parenthesis since you referred to it as PKA later",2,2,4,2
"136","End with a nice concluding sentence here",2,2,4,2
"137","Refer to your figures.",3,3,3,2
"138","Citations for this section?",3,3,3,3
"139","Ending a statement with proposition is considered to be informal. Use your best judgement to locate your informal/colloquial terms and revise.",2,2,5,5
"140","This is raw data, you don’t need to include it.",3,3,3,3
"141","Include this in paragraph form in your results",3,3,3,2
"142","What do you think went wrong with your experiment? Why do you think the Manduca did not do what you thought?",4,4,5,3
"143","This is not enough for a figure caption",3,3,3,2
"144","Is this always true?",4,3,4,2
"145","Why? The relevance of your results for the insecticides market is not very clear.",4,2,5,3
"146","As an alpha value of 0.05 (95% confidence) is standard, an alpha value does not need to be stated unless a value different from this standard is used.",3,3,4,2
"147","informal",2,2,3,3
"148","Missing a figure caption",3,3,3,2
"149","You could mention this different. The data is showing a tendency, however you didn’t get conclusive statistic results to support the hypothesis.",3,3,4,4
"150","control",3,3,2,2
"151","Specify the studied physiological process",3,2,2,4
"152","I would move this to the methods section as it’s more specific to your experiment than knowledge about the Manduca.",2,2,4,4
"153","At least 2 citations are needed. You can use lab manual for your background information.",3,3,3,3
"154","Error bars are correct this time, although there’s no need to fill in the bars with that pattern. Also it’s odd that the bars are all the way on the left side of the graph…see me if you need help making graphs",3,3,2,4
"155","Any primary literature sources (journal articles) that deal with interspecific interactions involving betta fish? It would be very useful to cite and talk about those here, if there are.",4,4,5,5
"156","?",2,3,1,2
"157","This caption is too conversational and not didactic enough.This caption needs to tell me what the error bars mean as well.",3,3,2,4
"158","Citation?",3,3,4,2
"159","This is redundant, a graph is a visual representation",3,3,3,2
"160","Check spelling throughout:ResourcesThere = theirWhere = wereAll of the blue underlines need to be corrected, they indicate areas where you have used the wrong word.",2,2,2,2
"161","This is not necessary. Focus more in the biological explanations",4,2,4,3
"162","A paired t-test is more appropriate for your data, as it takes into account the fact that you used the same fish for both treatments.",3,3,4,4
"163","Figures look great, but captions need to include stats and description of error bars",3,3,2,4
"164","Check the citation format",3,3,2,2
"165","Do you think this would have affected length differently than weight? Otherwise, this is  weak argument. The shade cloth did let some light through (about 25%).",4,4,4,4
"166","Why would methoprene cause a weight gain, what is the correlation there?",4,4,5,2
"167","Don’t need this",2,3,2,2
"168","The y-axis is so large that your results are not clear – scale it down so that your bars appear taller. Also, your data are ratios, right? Is there a more accurate and informative y-axis label that you could use? Right now it appears that you are showing the total height and total weight of the plants, which I don’t think is your goal.",3,3,4,4
"169","What statistical test did you run?",3,3,4,2
"170","Pay particular attention to your figure and figure caption for tips on how to include one in your presentations",3,3,3,3
"171","This table is okay because the data is presented well, and only relevant data is included, but this is basically still raw data. Can you think of a way to represent this graphically, perhaps?",3,3,3,4
"172","Again, you really just mean the muscle. Saying this is like saying taking caffeine would make the workout machine say I’m lifting heavier weights.",2,2,4,2
"173","I don’t understand how is this study explaining your results. What is your interpretation based on what they did? If you can make the link between this study and the study of the other researchers, then it will be more clear.",4,4,4,4
"174","This is a citation!  Just need to cite it and have use an in-text citation.",3,3,2,2
"175","Think about your x-axis label. Is that really what the x-axis is showing?",3,3,4,4
"176","You didn’t measure UV here, you used sun vs. shade. Sunlight contains other wavelengths of light aside from UV.",3,4,4,4
"177","While possible, I’m hesitant to say that the marginal increase in soil temp would elicit such a dramatic response.",4,4,4,4
"178","Follow the formatting instructions in the citation formatting section (page 51) to construct your citation lists and in-text citations.",3,3,3,3
"179","There is no prediction in your hypothesis. Reformulate the hypothesis including the prediction.",4,4,3,3
"180","Be careful with using the word significantly, as that generally implies you had statistically significant data",3,3,2,2
"181","you need to justify it by backing it up with primary lit",3,3,4,3
"182","You had 2. Control vs Experimental.",3,3,4,2
"183","This belongs in the discussion. NO interpretation in the results.",1,2,4,4
"184","I would highlight on the fact that A23187 targets both IP3 and Ca2+ activated intracellular channels. If 2-APB targets IP3, think about how you could improve your current experimental design.",4,4,4,4
"185","for 50 min – talk about the final check done to test the viability of chlorosplasts",3,3,4,4
"186","You need to refer readers to your figures as you mention the info they show in the results.",3,3,2,4
"187","You need primary literature in your introduction",1,2,3,3
"188","“like” is an informal term, consider “such as” instead. Use your best judgement to locate informal/colloquial terms in the rest of the report and revise.",2,2,5,5
"189","Adding an x-axis label does not mean you should remove the labels clarifying which is control and which is experimental (“treated”). If you don’t wish to have too much text, you could also make control and experimental different colors and add a key showing what the different colors mean.",3,3,4,4
"190","That is not related with threshold. What is falling between the latent period and the point of maximum contraction? Reconsider the definition of contraction period in the myogram.",3,3,5,4
"191","The physical labeling process isn’t needed as labeling them differently or not even having a label (and having a separate way to differentiate the worms) would not affect the reproducibility of the experiment.",3,3,4,4
"192","Describe the results and data of the controls and include observations not presented in a formal figure or table, if appropriate.",3,3,4,4
"193","How would cold affect enzyme function?",4,2,4,4
"194","Leave this for the discussion.",2,2,4,4
"195","Where is the statistical analysis?",3,3,4,2
"196","Need some more discussion of the biological mechanisms here. How does green light affect length?",4,4,4,4
"197","Supported not correct. Solid abstract, but you need a sentence or two of methods.",2,2,4,4
"198","No quotes",2,2,3,3
"199","How much and what is this made of?",3,3,2,2
"200","You need to specifically mention whether or not there was significant difference in treatments",3,3,3,4
"201","You need to elaborate on your experimental treatment. How might turbidity affect aggression? Cite some relevant studies.",4,4,5,5
"202","I would make your title about weight, since that is what you measured",2,3,2,4
"203","This was a really nice complete introduction but try to summarize a little bit more the previous lit. You don’t need to go so in depth into their methods",2,2,3,3
"204","What is the inhibitor? AchE inhibitor",3,3,2,2
"205","contraction",2,3,2,2
"206","You should not display the same information in a figure and a table",3,3,3,2
"207","Can you make your hypothesis more straight-forward and clearer?",4,2,3,2
"208","2?",2,3,2,2
"209","revise",2,2,3,2
"210","informal",2,2,3,3
"211","You should make a clearer declaration of your hypothesis here.",4,2,2,2
"212","informal",2,2,3,3
"213","Procedural error could be one reason. Maybe the chloroplasts were not successfully isolated. Recall that you did not actually look through the microscope and calculated relative chloroplast density this time. It could be error at maintaining the temp during the experiments. Explore possible reasons!",4,4,4,7
"214","Why would those be logical next steps, how would you test them? You did test ACh in the muscle so what were you going to do differently?",4,4,4,4
"215","I believe we talked about error bars in class, so you should be good for the revision, but don’t forget to change them!",3,3,2,2
"216","Make sure you have a colon : between the author and the year",3,3,2,2
"217","Specify that this was for stimulation",3,3,2,2
"218","This sentence is realllly complicated and there are a lot of clauses. Can you distill it down, or break it into two sentences? It’s hard to understand what you are saying.",2,2,2,3
"219","You don’t need to cite every sentence.  If you have a few sentences in a row that are from the same citation, you would just leave an intext citation after the group of sentences.",3,3,2,2
"220","Hypothesis needs to be the last sentence of your introduction.",2,2,4,3
"221","These say similar things. Combine them.",2,2,3,4
"222","Your hypothesis was about R:S, but you are mixing up R:S and “overall mass” here. Need to give the actual p value",3,3,4,4
"223","two-sample",3,3,2,2
"224","Can wait until methods. Too much details for the introduction.",2,2,4,4
"225","Do you think is necessary to explain this or is something you need to know to conduct the analysis?",3,3,5,4
"226","Why? Unpaired, correct?",3,3,4,2
"227","You don’t need this table with averages because this is basically what your graph is displaying",3,3,4,4
"228","This is a good connection.Your introduction is sparse and doesn’t set up your research question very well. You don’t mention anything about resource allocation or phenotypic plasticity, for example. You should fill this out more by explaining these concepts, and then talking about why you think salinity in particular will affect R:S ratios.",4,4,4,5
"229","The format of your list should be the same. Eg. MLA, APA etc.",3,3,3,2
"230","Mention standard deviation",3,3,2,2
"231","You should mention the figures in this section",3,3,3,2
"232","No need for this info.",2,2,3,2
"233","revise",2,2,3,2
"234","I would edit this whole section for grammar and typos",2,2,3,3
"235","Need some more background info about how acid rain would affect soil and resource allocation",2,4,4,4
"236","This should be a colon :",3,3,2,2
"237","I wouldn’t talk about twitch amplitude here unless you plan on discussing it in your results",4,4,4,4
"238","informal",2,2,3,3
"239","What statistical analysis did you run? Please ask me if you have questions about this!",3,3,4,4
"240","No citations in the discussion",1,3,3,3
"241","Follow the formatting instructions in the citation formatting section (page 51) to construct your citation lists and in-text citations.",3,3,3,3
"242","Your job in the discussion is to come up with several reasons why this could occur",4,4,3,3
"243","Check the citation format",3,3,2,2
"244","Include a sentence about your results and another sentence about your conclusions.",2,2,4,4
"245","You have to introduce NADP+ first before why you used DCPIP can make sense. Also, explain how DCPIP affects your results.",2,4,4,4
"246","Clarify that the injections were on the same frogs and that the measurement procedure was then repeated. Also, what statistical test(s) did you run?",3,3,4,4
"247","Yes, there are many explanations. Look for examples in the literature. E.g. find papers about how color affects aggression",4,4,3,4
"248","This is good but I want to see you go deeper. Think biological reasoning for why calcium channel activator *could*, *not* promote growth toward calcium. Um…see me in lab about this because I’m pretty sure this comment made zero sense and I can’t make it make sense right now.",4,4,5,5
"249","How does JH or methoprene effect weight, what led you to make this connection",4,4,4,4
"250","Change language",2,2,2,2
"251","I would recommend you to use different y-axes, one for each variable or create two figures.Reconsider the x-axis",3,3,4,4
"252","What background info led you to this experimental question? Naturally after you explain that briefly, you can state your hypothesis",2,4,4,4
"253","Why? What motivates intraspecific aggression? What are its costs and benefits? You need to be specific",4,4,5,5
"254","Water was added",3,3,2,2
"255","The first part of this sentence is inconsistent with your results. Also, you aren’t proving Azagard blocks ecdysone, you already know it does that",4,2,4,4
"256","Azamax is the brand, azadirachtin is the actual chemical in it",3,3,2,2
"257","followed by red and green. I tried to spot and suggest better way to structure your writing, but go through your report again to revise for a well-structured, concise sentences with proper terms.",2,2,3,3
"258","Juvenile Hormone and Ecdysterone (20E) are separate hormones. If you used a ecdysterone blocker, it was likely Azamax or Azaguard. You may want to ask your other lab members which is was and include it within your methods.",3,3,4,4
"259","The y-axis of the graph is in cm",3,3,4,2
"260","Just use the first author’s last name",3,3,2,2
"261","Good time to reference your figure, and reference the specific catepillars",3,3,2,2
"262","At what wavelength?",3,3,2,2
"263","remove",2,2,2,2
"264","correct the figure number in the image to clear confusion",3,3,2,2
"265","Don’t need to use quotations, just paraphrase.",2,2,3,3
"266","…because you said this.",2,2,2,2
"267","You can consolidate the main points from each of these sentences into one “plants use red light to induce phototropism”.",2,2,4,4
"268","What might you suggest that is better for studying leg muscles than a frog?",4,4,4,4
"269","and",2,3,2,2
"270","Should’ve been a paired t-test",3,3,2,2
"271","Too long. Revise. Or break into smaller sentences.",2,2,2,3
"272","Again, follow up with my comments in #1",4,3,7,3
"273","This doesn’t have any support backing it.",4,3,3,3
"274","Can you be more specific than response? That was the amplitude of contraction",3,3,4,4
"275","This abstract still has no hypothesis in it.",2,2,3,3
"276","Also explore the possible reasons why your herbicide experiment didn’t turn out the way you expected",4,4,3,3
"277","This means that you are repeating information.",2,3,2,2
"278","Martin’s IGR is a JH activator, not an inhibitor. You didn’t test both, so this is not true.",3,3,4,4
"279","What statistical test did you run?",3,3,4,2
"280","This is too detailed for the introduction. Saying Martin’s IGR is enough for the sake of the introduction.",2,2,4,4
"281","any time you have an average graphed, you will need standard deviation bars. As such, this graph should have 16 total standard deviation bars.",3,3,4,4
"282","Ask me or one of your group members to help you with how to properly make your graphs",3,3,2,4
"283","Did you have a control group or the same muscles were stimulated before and after injection? Consider saying control condition",3,3,2,4
"284","Paired t-test",3,3,2,2
"285","This is not true. The bar does not represent the food. I t represents the average length of fur caterpillars treated with IGR.",3,3,4,4
"286","Find a more professional way to say this, or just reference it mid sentence when talking about setup, more specifically to what each figure is showing",2,3,3,4
"287","Simplified, K+ channels open after the acetylcholine is released and causes potassium to flow out and hyperpolarize the cell. This brings the nerve back down and near its resting potential. (In short, the potassium helps the nerve reset).",3,4,4,1
"288","This is more summary and belongs in the abstract, not the intro. Think of the intro as describing the state of knowledge before the experiment takes place.",2,2,4,4
"289","Don’t use a source of error as an explanation for your results, talk about what might be going on inside the caterpillar",4,4,3,4
"290","You already mentioned that you did the same for each leg",2,3,2,2
"291","What is this receptor responsible for?",3,3,4,2
"292","This is synonymous with “aggressive”",2,3,2,2
"293","Your y-axis needs to have units on it.",3,3,4,2
"294","I’m confused—why do you have two p-values here?",3,3,4,2
"295","Proofread",2,2,3,2
"296","Delete. This information is essentially displayed in your bar graph. So no need for this",3,3,2,4
"297","So I don’t know if you incorporated the new data I gave you in here but make sure you do if you haven’t already",3,3,4,4
"298","revise",2,2,3,2
"299","This is confusing, get right to if it is accepted or not and focus on the hypothesis not the null hypothesis. What told you it was significant?",3,2,4,4
"300","Language….",2,3,1,2
"301","So, yes your p-value means insignificant data, but you then talk about what should happen. This is the correct way to go but you need to elaborate on what azamax should do and how it could have produced the data you saw.",3,4,4,4
"302","I think you mixed up the order of your figure captions and figures (not something to worry too much about just be aware)",3,3,2,3
"303","Your figure caption should relay what you want me to get out of looking at this figure.",3,3,3,3
"304","Why is the Manduca helpful to study?",3,2,4,4
"305","Are you sure it is the correct tense for this section? Check with other primary lit",2,2,5,3
"306","You could omit this",2,2,2,2
"307","This seems counter to what you thought?",4,2,3,2
"308","This is a very low doses.",3,3,4,2
"309","Your statistical results still don’t need to be in a table, and need to be mentioned in your lab report in your results and discussion",3,3,3,4
"310","Your data does not look like it would be significant.  Try to run a t-test on the difference in weight/length between the first and last day of each manduca.  Let me know if you want clarification.",3,3,4,4
"311","At what temp?",3,3,2,2
"312","Can you cite your source? This should apply to all established facts that are not your original work.",3,3,3,3
"313","You can reconsider the order of the ideas in the Abstract. You are missing information about the results. Remember that the abstract could include information from all the lab report sections",2,2,4,3
"314","Stats?",3,3,2,2
"315","Cross check again (technical error)",3,3,2,2
"316","As you’re more interested in the total difference in mass rather than the change for each day, you could use a bar graph showing the difference between final/initial mass (Your current graph works too but, you will want to quantify the difference in growth in some way).",3,3,4,4
"317","This is an important point that should be re-iterated in your abstract as one of the concluding lines.",2,2,4,4
"318","Consider this statement more carefully. Which concept is the cause, and which is the effect? What do you really mean by this? Your intro is somewhat unstructured. You go from broad statements to specific, and then back to broad again before narrowing on your hypothesis. How can you make this flow more smoothly?",2,4,5,5
"319","You state a lot of data/observations in the discussion.  You should state them in the results, and reference them in the discussion. Also, you NEED to have a citation in the discussion that is not the lab manual.",3,3,4,3
"320","Herbicide was your another treatment",3,3,2,4
"321","Title should VERY briefly state the main takeaway of your experiment",2,2,4,4
"322","Remove this",2,2,2,2
"323","This is all unnecessary information",2,2,2,2
"324","Edit it to simply read “Experimental” and “Control” (“Series 1” and “Series 2” are confusing). Let me know if you need help.",3,3,2,2
"325","Missing outside sources (basic criteria)",1,1,3,3
"326","Good job comparing to other studies. Focus on that in the future, instead of re-stating the results",4,4,3,3
"327","Leave out in-text citations for the abstract. Instead you can say something along the lines of “Previous studies have shown….”",3,2,2,3
"328","Just say that there was no significant difference (t = , df = , p =)",3,3,2,2
"329","Probably those values of the mean and SDare not necessary because that information is already I the figure",3,3,2,2
"330","Citations format. This should be the Journal name, the number and pages Ex: Journal of Experimental Biology. 61: 481-491",3,3,2,2
"331","At what temp?",3,3,2,2
"332","Include steps about how you prepared your dilution solution",3,3,4,2
"333","For all the results that were not significant, pick the ones that caught your attention and only include those.",3,3,4,4
"334","This is unclear. What do you mean by promote into adulthood, and your t-test says your data is significant so the precor you used was enough to do something.",3,3,4,4
"335","Unnecessary",2,2,2,2
"336","To record the myograms of the muscles contractions",3,3,2,2
"337","This title needs to be more specific. Ask your lab mates or see me for suggestions.",2,2,3,3
"338","Include mean ± SD for each group at the end of the experiment to support that statement. Include statistical outcome to corroborate if those difference were significant or not.",3,3,4,4
"339","Write your lab report as if you were trying to publish a study. Remember to start broadly.",2,2,3,3
"340","Should be 2018, as the lab manual was just updated!",3,3,2,2
"341","It is",2,3,7,2
"342","Mention the obtained result, that one that is supporting the hypothesis.",3,2,4,4
"343","Lines a little hard to see.Use standard error here as well.",3,3,2,2
"344","This would be a decent abstract if you deleted the first sentence.",2,2,2,2
"345","Your introduction doesn’t ever explain the reason plants allocate resources differentially, which makes it difficult for an inexperienced reader to understand your hypothesis.",4,4,4,5
"346","You mean control?",3,3,2,2
"347","avoid using question mark statments",2,2,3,3
"348","Although you can mention that previous researchers found similar results than you by affecting the secretion of JH instead, I will recommend you look for another source.",4,4,4,4
"349","This supports your earlier claims, but it belongs earlier in the paper.",2,2,2,4
"350","You can assume your reader understands basic statistics, so no need to explain p values.",3,3,3,3
"351","You reported this right, good job. You should also report the means +/- standard deviations and reference your figure(s) here.",3,3,2,2
"352","I didn’t catch this before, but we can never prove things in science.",2,2,3,3
"353","?",2,3,1,2
"354","Why are you focusing on the statistical tests in the figure captions? You should describe here the information that is displayed in the figures. Give details. Figure captions should be self-explanatory",3,3,4,4
"355","Almost sounds colloquial. Try a different word here",2,2,3,3
"356","No sentences for just the p-vale. Write the results similar to the example that we analyzed in the last lab.",3,3,2,3
"357","There’s a lot in this sentence, can you unpack it a bit, and explain what R:S ratio is?",2,2,4,4
"358","What do your error bars represent?",3,3,2,2
"359","any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly). As such, this graph should have 16 total standard deviation bars.",3,3,4,4
"360","Avoid colloquial language",2,2,3,3
"361","Save this for the Table caption",3,3,2,2
"362","Standard error bars represent standard error of means (I’m assuming….)",3,3,2,2
"363","Error bars?",3,3,4,2
"364","Missing outside sources (Basic Criteria)",1,1,3,3
"365","Do not assume that you did it wrong.",4,3,3,2
"366","This is raw data",3,3,3,3
"367","Avoid this. Since the stat’s weren’t significant, you can’t say that xxx was higher than yyy",3,3,2,4
"368","Similarly, you hardly discuss your results in the discussion, instead explaining the reasoning for your hypothesis.",3,4,4,4
"369","Graphs look good, except you don’t need a title, and don’t need the legend",3,3,2,4
"370","Good but try to make this more concise.",2,2,3,3
"371","What am I supposed to take away from this figure?",3,3,4,2
"372","Report the specific means +/- Sd",3,3,2,2
"373","Potassium has a more specific role in nerves. The potassium channels open after Acetylcholine is released to try to hyperpolarize the cell and bring it back to resting potential.",3,4,4,4
"374","These are essentially methods.",3,3,4,2
"375","What does this say about your hypothesis? What do you conclude?",4,2,3,2
"376","Still days",3,3,2,2
